group,case,ai,gflops,bandwidth_gbs,runtime_us,dram_bytes,roofline_bound_gflops,percent_roofline,notes
fusion,bias_relu_fused,0.18584602819904944,71.70240700218818,385.81619256017507,14.624,5642176.0,124.88853094976122,57.4131238928832,memory-bound
fusion,bias_relu_unfused,0.08937791682464002,31.87548638132296,356.637159533074,32.896,11731936.0,60.0619601061581,53.071005882897914,memory-bound
fusion,ln_bwd_residual_fused,0.6066773541506936,153.7130242825607,253.36865342163355,28.992,7345664.0,407.6871819892661,37.703668663933556,memory-bound;mixed
fusion,ln_bwd_residual_unfused,0.5517447821173864,138.71683913452495,251.414863593603,34.016000000000005,8552128.0,370.77249358288367,37.41292613000046,compute-bound;memory-bound
fusion,residual_ln_fused,0.9354683178115564,213.70434782608694,228.44637681159418,11.040000000000001,2522048.0,628.6347095693659,33.99499654934437,compute-bound
fusion,residual_ln_unfused,0.652385123835311,140.43428571428575,215.26285714285717,16.8,3616416.0,438.402803217329,32.03316326530613,compute-bound;memory-bound
training_hotspot,batched_qkv,95.27564862173796,15123.692307692305,158.7361778846154,53.248000000000005,8452384.0,64025.235873807906,23.621455042353478,volta_s884gemm_128x128_ldg8_f2f_nn
training_hotspot,bt_ff1,76.97700859367473,14946.294877505568,194.16570155902005,71.84,13948864.0,51728.54977494942,28.893705589139888,volta_s884gemm_128x128_ldg8_f2f_tn
training_hotspot,fwd_ff1,108.34495318049726,19075.85673678226,176.06594656054577,56.288000000000004,9910400.0,72807.80853729416,26.200289666747878,volta_s884gemm_128x128_ldg8_f2f_nn
training_hotspot,splitk_dW1,77.3275443278347,15805.196420160151,204.39284032030142,67.936,13885632.0,51964.10978830492,30.415601238140095,volta_s884gemm_128x128_ldg8_f2f_nt
training_hotspot,splitk_dW2,77.25490521119691,16249.119612590799,210.3312348668281,66.08,13898688.0,51915.296301924325,31.299290902801797,volta_s884gemm_128x128_ldg8_f2f_nt
training_hotspot,splitk_dWout,18.13747530485728,3123.049853372434,172.18768328445748,21.824,3757824.0,12188.383404864091,25.62316715542522,volta_sgemm_32x128_nt
training_hotspot,splitk_dWout,69.51436031331593,14294.76510067114,205.63758389261747,4.768,980480.0,46713.65013054831,30.6008309364014,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
training_hotspot,splitk_qkv,51.39763494883892,12787.512195121952,248.79573170731706,20.992,5222720.0,34539.21068561976,37.02317436120789,volta_s884gemm_128x128_ldg8_f2f_nt
training_hotspot,splitk_qkv,62.851080408787126,28244.47138047138,449.3872053872054,9.504,4270976.0,42235.92603470495,66.8730960397627,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
