hidden,backend,repeat,requested_steps,lr,world_size,sync_mode,effective_sync,avg_logged_loss,steps_rank,time_ms,throughput_tok_s,throughput_mtok_s,valid
512,cublas_tc,1,50,1e-4,1,blocking,blocking,3.2163,50,291.0,352209.0,0.352209,yes
512,cublas_tc_ffn_fp16,1,50,1e-4,1,blocking,blocking,3.2068,50,177.0,578078.0,0.578078,yes
512,cublas_tc_fp16_storage,1,50,1e-4,1,blocking,blocking,3.2161,50,146.0,701154.0,0.701154,yes
512,custom,1,50,1e-4,1,blocking,blocking,3.1680,50,363.0,281954.0,0.281954,yes
512,cublas_tc,2,50,1e-4,1,blocking,blocking,3.2161,50,138.0,739497.0,0.739497,yes
512,cublas_tc_ffn_fp16,2,50,1e-4,1,blocking,blocking,nan,50,135.0,759977.0,0.759977,no
512,cublas_tc_fp16_storage,2,50,1e-4,1,blocking,blocking,3.2159,50,144.0,710472.0,0.710472,yes
512,custom,2,50,1e-4,1,blocking,blocking,3.1731,50,363.0,281902.0,0.281902,yes
512,cublas_tc,3,50,1e-4,1,blocking,blocking,3.2165,50,141.0,727849.0,0.727849,yes
512,cublas_tc_ffn_fp16,3,50,1e-4,1,blocking,blocking,3.2030,50,135.0,761259.0,0.761259,yes
512,cublas_tc_fp16_storage,3,50,1e-4,1,blocking,blocking,3.2159,50,144.0,709242.0,0.709242,yes
512,custom,3,50,1e-4,1,blocking,blocking,3.1761,50,363.0,282105.0,0.282105,yes
512,cublas_tc,4,50,1e-4,1,blocking,blocking,3.2164,50,139.0,734098.0,0.734098,yes
512,cublas_tc_ffn_fp16,4,50,1e-4,1,blocking,blocking,3.2053,50,135.0,759988.0,0.759988,yes
512,cublas_tc_fp16_storage,4,50,1e-4,1,blocking,blocking,3.2160,50,144.0,712271.0,0.712271,yes
512,custom,4,50,1e-4,1,blocking,blocking,3.1706,50,361.0,283433.0,0.283433,yes
512,cublas_tc,5,50,1e-4,1,blocking,blocking,3.2166,50,141.0,727603.0,0.727603,yes
512,cublas_tc_ffn_fp16,5,50,1e-4,1,blocking,blocking,3.2058,50,134.0,762109.0,0.762109,yes
512,cublas_tc_fp16_storage,5,50,1e-4,1,blocking,blocking,3.2166,50,145.0,707718.0,0.707718,yes
512,custom,5,50,1e-4,1,blocking,blocking,3.1780,50,362.0,282770.0,0.28277,yes
